gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5172023337	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	482cd7b5-fcaf-4dbf-85ca-772e24f410b9	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	Malta, Trafton Park, Milk River	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	48.36327	-107.86845	5.0		689.0				2024-08-02	2	8	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270487				CC0_1_0	Department of Bioagricultural Sciences	Mat Seidensticker			2025-10-25T09:37:52.877Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5172022337	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	83ca779b-bb62-44b0-b823-8b4a80a48fbf	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	Fort Benton, 1414 Main Street	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	47.81754	-110.69917	5.0		803.0				2024-06-24	24	6	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1270491				CC0_1_0	Department of Bioagricultural Sciences	Chuck Harp			2025-10-25T09:37:58.890Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5168268777	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/270074913	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Nevada	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.195146	-115.288136	9.0						2024-10-10T15:46	10	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	270074913		kobypo89	2025-04-12T22:48:17	CC_BY_NC_4_0	kobypo89	kobypo89			2025-10-27T22:36:18.819Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5168144442	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/222082726	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.233095	-104.567612	10.0						2024-06-08T12:52:08	8	6	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	222082726		lyndseynd	2024-06-11T18:32:22	CC_BY_NC_4_0	lyndseynd	lyndseynd			2025-10-27T23:48:41.297Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5166813542	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/271888550	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.529502	-115.553801	28677.0						2024-10-08T19:48	8	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	271888550		bangert301	2025-04-21T03:54:55	CC_BY_NC_4_0	bangert301	bangert301			2025-10-27T22:39:35.116Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5141085349	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/276432996	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Utah	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.856881	-109.728989	1.0						2024-08-11T22:03	11	8	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	276432996		Laura Gaudette	2025-04-29T04:46:36	CC_BY_4_0	Laura Gaudette	Laura Gaudette			2025-10-28T00:47:36.298Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5139928074	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/219154420	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.812422	-104.888556							2024-05-29T08:00:30	29	5	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	219154420		Cody Limber	2024-05-29T17:48:07	CC_BY_NC_4_0	Cody Limber	Cody Limber			2025-10-28T00:34:04.996Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5138332079	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	2cc2b15f-642b-48e8-9745-7f741778f510	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6 mi. W of Columbus, Holmgren Fishing Access Site (FAS)	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	45.66002	-109.34332	5.0		1094.0				2024-09-16	16	9	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1272712				CC0_1_0	Department of Bioagricultural Sciences	D. Harty; D. Johnson et al.			2025-10-25T09:37:52.808Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5138332078	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	124fdeed-641f-4a8e-8d03-3d5de2e30e12	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	Loma, Marias Bridge Fishing Access, confl. Marias & Teton Rvrs.	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	47.93166	-110.50813	5.0		780.0				2024-06-24	24	6	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1272710				CC0_1_0	Department of Bioagricultural Sciences	Chuck Harp			2025-10-25T09:37:52.806Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
5138332076	323b0e80-5e4b-4cc4-936a-d93fc8cae9bc	88f805c4-9743-419f-84ff-f2f9bcf223d5	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US	6.5 mi. NW of HW 93 Larry Cr. Rd., Lolo NF	Montana	PRESENT	1	0d923068-1cec-44de-8b78-33a51fb0cacd	46.58542	-114.15702	5.0		1607.0				2024-07-12	12	7	2024	4301148	4301148	PRESERVED_SPECIMEN	CSU	CSUC	CSU_ENT1272706				CC0_1_0	Department of Bioagricultural Sciences	Mat Seidensticker			2025-10-25T09:38:13.119Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
